restaurantId;restaurantCuisine;restaurantTags;restaurantName;menuId;menuName;menuDescription;menuSections;menuPrice;menuTag;dishType;menuType;cuisine;associatedKeywords;flavor;mealTime;occasion;portion
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-0;Soup Iga;;soup;72000;noodles;food;soup;indonesian;beef, beef soup, broth;spicy, savory;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-1;Soup Buntut;;soup;72000;noodles;food;soup;indonesian;oxtail, broth, soup;spicy, savory;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-2;Kopi Hitam Arabica Gayo;;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, arabica;bittersweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-3;Kopi Sanger;;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-4;Espresso;1 Shot;varian kopi atjeh;36000;beverages;drink;beverage;indonesian;coffee;bittersweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-5;Green Tea Coffee;;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;green tea, coffee;bittersweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-6;Cappucino;;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-7;Sangeran The Atjeh Connection;;varian kopi atjeh;48000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-8;Coffee Latte;;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-9;Pandan Milk Coffee Iced;;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, pandan;creamy,sweet;anytime;casual;1
