restaurantId;restaurantCuisine;restaurantTags;restaurantName;menuId;menuName;menuDescription;menuSections;menuPrice;menuTag;dishType;menuType;cuisine;associatedKeywords;flavor;mealTime;occasion;portion
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-0;Soup Iga;Soup Iga adalah hidangan khas The Atjeh Connection yang lezat. Sup ini memiliki kuah yang kaya rasa dengan potongan iga yang empuk. Cocok disantap sebagai hidangan pembuka atau makanan utama yang menghangatkan.;soup;72000;noodles;food;soup;indonesian;beef, beef soup, broth;spicy, savory;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-1;Soup Buntut;Soup Buntut adalah hidangan klasik Indonesia yang disajikan dengan sempurna di The Atjeh Connection. Sup ini terbuat dari ekor sapi yang dimasak hingga empuk dalam kaldu yang kaya rasa. Disajikan dengan nasi putih hangat, hidangan ini menjadi favorit para pelanggan.;soup;72000;noodles;food;soup;indonesian;oxtail, broth, soup;spicy, savory;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-2;Kopi Hitam Arabica Gayo;Kopi Hitam Arabica Gayo adalah pilihan sempurna bagi pecinta kopi. Terbuat dari biji kopi Arabica pilihan dari dataran tinggi Gayo, Aceh. Memiliki cita rasa yang kaya dengan sedikit keasaman yang menyegarkan.;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, arabica;bittersweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-3;Kopi Sanger;Kopi Sanger adalah minuman kopi khas Aceh yang unik. Perpaduan antara kopi, susu kental manis, dan gula menciptakan rasa yang manis dan creamy. Minuman ini menjadi favorit di The Atjeh Connection.;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-4;Espresso;1 Shot;varian kopi atjeh;36000;beverages;drink;beverage;indonesian;coffee;bittersweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-5;Green Tea Coffee;Green Tea Coffee adalah perpaduan unik antara teh hijau dan kopi. Minuman ini menawarkan kombinasi rasa yang menarik, dengan kesegaran teh hijau dan kekuatan kopi. Cocok bagi mereka yang ingin mencoba sesuatu yang berbeda.;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;green tea, coffee;bittersweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-6;Cappucino;Cappucino di The Atjeh Connection disajikan dengan sempurna. Perpaduan espresso yang kuat dengan busa susu yang lembut dan creamy. Ditaburi sedikit bubuk cokelat di atasnya untuk sentuhan akhir yang sempurna.;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-7;Sangeran The Atjeh Connection;Sangeran The Atjeh Connection adalah minuman signature dari restoran ini. Perpaduan unik antara kopi khas Aceh dengan sentuhan modern. Rasanya yang khas menjadikannya pilihan favorit para pelanggan.;varian kopi atjeh;48000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-8;Coffee Latte;Coffee Latte di The Atjeh Connection menawarkan keseimbangan sempurna antara espresso dan susu steamed. Lapisan busa susu yang lembut di atasnya menambah kenikmatan. Cocok dinikmati kapan saja.;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-9;Pandan Milk Coffee Iced;Pandan Milk Coffee Iced adalah minuman yang menyegarkan dengan sentuhan lokal. Perpaduan antara kopi, susu, dan ekstrak pandan menciptakan rasa yang unik. Disajikan dingin, cocok untuk menyegarkan di cuaca panas.;varian kopi atjeh;42000;beverages;drink;beverage;indonesian;coffee, pandan;creamy,sweet;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-10;Ice Atjeh Tea;Ice Atjeh Tea adalah minuman teh khas Aceh yang menyegarkan. Terbuat dari racikan teh khusus dengan sentuhan rempah khas Aceh. Disajikan dingin, sempurna untuk melepas dahaga.;aneka minuman;30000;beverages;drink;beverage;indonesian;tea;refreshing;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-11;Green Tea Latte;Green Tea Latte menggabungkan kesegaran teh hijau dengan kelembutan susu. Minuman ini menawarkan rasa yang lembut dan menenangkan. Sempurna bagi pecinta teh hijau yang menginginkan sentuhan creamy.;aneka minuman;42000;beverages;drink;beverage;indonesian;green tea;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-12;Es Timun Serut;Es Timun Serut adalah minuman segar khas Indonesia. Terbuat dari timun yang diserut halus, dicampur dengan sirup gula dan es. Sangat menyegarkan dan cocok dinikmati di cuaca panas.;aneka minuman;29500;beverages;drink;beverage;indonesian;cucumber, drink;refreshing;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-13;Teh Tarik Atjeh;Teh Tarik Atjeh adalah versi khas Aceh dari minuman populer Malaysia. Teh hitam kuat yang dicampur dengan susu kental manis, kemudian 'ditarik' untuk menciptakan tekstur yang creamy. Rasanya yang khas menjadikannya favorit di The Atjeh Connection.;aneka minuman;41000;beverages;drink;beverage;indonesian;tea, milk;creamy;anytime;casual;1
6-C2W2TPXVFEDKVE;beverages,noodles;beverages,noodles,rice;The Atjeh Connection - Kebon Sirih;6-C2W2TPXVFEDKVE-14;Kue Ade;Kue Ade adalah kue tradisional Aceh yang lezat. Terbuat dari tepung beras dan kelapa parut, diisi dengan gula merah. Teksturnya yang lembut dan rasa manisnya yang pas menjadikannya cemilan favorit.;snacks and cake atjeh;21000;snacks;food;snack;indonesian;cake, sweet;sweet;anytime;casual;1
